Transcript Id,Gene Id,name,miTG score
ENST00000327925,ENSG00000205212 ,CCDC144NL,0.997450954
ENST00000223023,ENSG00000106299 ,WASL,0.983945492
ENST00000374792,ENSG00000181409 ,AATK,0.982180306
ENST00000486310,ENSG00000168374 ,ARF4,0.976062099
ENST00000265354,ENSG00000112658 ,SRF,0.975418721
ENST00000370353,ENSG00000130032 ,PRRG3,0.974961875
ENST00000587536,ENSG00000267106 ,C19orf82,0.972050801
ENST00000370520,ENSG00000167046 ,RP11-93B14.6,0.971004632
ENST00000414341,ENSG00000204788 ,CR769776.1,0.968279893
ENST00000277570,ENSG00000148426 ,PROSER2,0.965523655
ENST00000408939,ENSG00000196659 ,TTC30B,0.965201061
ENST00000343318,ENSG00000240720 ,LRRD1,0.964906285
ENST00000339450,ENSG00000099219 ,ERMP1,0.96288198
ENST00000263734,ENSG00000116016 ,EPAS1,0.960045144
ENST00000594262,ENSG00000268798 ,AC027307.3,0.959135209
ENST00000301263,ENSG00000167656 ,LY6D,0.939061993
ENST00000371824,ENSG00000162374 ,ELAVL4,0.937109904
ENST00000373510,ENSG00000160062 ,ZBTB8A,0.936039603
ENST00000373647,ENSG00000011454 ,RABGAP1,0.933863566
ENST00000369963,ENSG00000112706 ,IMPG1,0.924805559
ENST00000291439,ENSG00000072958 ,AP1M1,0.916972671
ENST00000395076,ENSG00000100614 ,PPM1A,0.916730397
ENST00000512701,ENSG00000155158 ,TTC39B,0.916602244
ENST00000419235,ENSG00000112679 ,DUSP22,0.914893963
ENST00000392067,ENSG00000020577 ,SAMD4A,0.905402414
ENST00000400573,ENSG00000099954 ,CECR2,0.902429411
ENST00000455385,ENSG00000008282 ,SYPL1,0.902412991
ENST00000480336,ENSG00000254553 ,RP1-27O5.3,0.898067859
ENST00000263181,ENSG00000121621 ,KIF18A,0.898043018
ENST00000369709,ENSG00000116473 ,RAP1A,0.89679938
ENST00000245304,ENSG00000125249 ,RAP2A,0.896734574
ENST00000264451,ENSG00000014824 ,SLC30A9,0.895714039
ENST00000512062,ENSG00000103018 ,CYB5B,0.895694082
ENST00000261401,ENSG00000110880 ,CORO1C,0.895145674
ENST00000399022,ENSG00000141425 ,RPRD1A,0.894453046
ENST00000337227,ENSG00000089050 ,RBBP9,0.893696272
ENST00000370658,ENSG00000146166 ,LGSN,0.891767374
ENST00000367495,ENSG00000118508 ,RAB32,0.888907881
ENST00000434391,ENSG00000117682 ,DHDDS,0.885187105
ENST00000431170,ENSG00000008311 ,AASS,0.882016559
ENST00000379047,ENSG00000181019 ,NQO1,0.877306519
ENST00000242728,ENSG00000123095 ,BHLHE41,0.872167309
ENST00000324453,ENSG00000180354 ,MTURN,0.87023663
ENST00000317025,ENSG00000147548 ,WHSC1L1,0.869509571
ENST00000336824,ENSG00000075420 ,FNDC3B,0.86850842
ENST00000528081,ENSG00000119707 ,RBM25,0.868105696
ENST00000379261,ENSG00000048740 ,CELF2,0.864123706
ENST00000351797,ENSG00000055147 ,FAM114A2,0.864069518
ENST00000554882,ENSG00000092148 ,HECTD1,0.863173372
ENST00000526148,ENSG00000110321 ,EIF4G2,0.861977942
ENST00000303735,ENSG00000169507 ,SLC38A11,0.860767761
ENST00000379019,ENSG00000125772 ,GPCPD1,0.856681578
ENST00000360409,ENSG00000118257 ,NRP2,0.856435727
ENST00000415039,ENSG00000108344 ,PSMD3,0.85450277
ENST00000265138,ENSG00000113369 ,ARRDC3,0.852559745
ENST00000332160,ENSG00000185432 ,METTL7A,0.852475391
ENST00000327835,ENSG00000164684 ,ZNF704,0.851783518
ENST00000273598,ENSG00000145029 ,NICN1,0.850154665
ENST00000303688,ENSG00000154781 ,CCDC174,0.849847229
ENST00000514049,ENSG00000103599 ,IQCH,0.849825603
ENST00000252015,ENSG00000100991 ,TRPC4AP,0.849251444
ENST00000361175,ENSG00000198682 ,PAPSS2,0.848412812
ENST00000389749,ENSG00000166166 ,TRMT61A,0.847993333
ENST00000592173,ENSG00000153391 ,INO80C,0.846337483
ENST00000335486,ENSG00000111452 ,GPR133,0.846020232
ENST00000439174,ENSG00000120063 ,GNA13,0.844215811
ENST00000439013,ENSG00000133321 ,RARRES3,0.841843903
ENST00000371236,ENSG00000173406 ,DAB1,0.841391749
ENST00000279024,ENSG00000149633 ,KIAA1755,0.840996729
ENST00000591344,ENSG00000267041 ,ZNF850,0.840960393
ENST00000378204,ENSG00000182197 ,EXT1,0.840190387
ENST00000380003,ENSG00000147894 ,C9orf72,0.839938068
ENST00000262995,ENSG00000109458 ,GAB1,0.837919006
ENST00000370651,ENSG00000112245 ,PTP4A1,0.834739176
ENST00000327987,ENSG00000174498 ,IGDCC3,0.833305911
ENST00000577226,ENSG00000109118 ,PHF12,0.832459102
ENST00000258349,ENSG00000135870 ,RC3H1,0.831394468
ENST00000300540,ENSG00000105750 ,ZNF85,0.826885079
ENST00000550389,ENSG00000166225 ,FRS2,0.826712231
ENST00000378090,ENSG00000204954 ,C12orf73,0.826166424
ENST00000447998,ENSG00000132912 ,DCTN4,0.825395502
ENST00000487599,ENSG00000138107 ,ACTR1A,0.824049265
ENST00000261845,ENSG00000069956 ,MAPK6,0.818535123
ENST00000231188,ENSG00000113262 ,GRM6,0.817834546
ENST00000265631,ENSG00000004864 ,SLC25A13,0.817434721
ENST00000507543,ENSG00000129187 ,DCTD,0.816896512
ENST00000545307,ENSG00000131966 ,ACTR10,0.816441304
ENST00000342784,ENSG00000105137 ,SYDE1,0.812602765
ENST00000409522,ENSG00000188316 ,ENO4,0.812553314
ENST00000295797,ENSG00000163558 ,PRKCI,0.812386256
ENST00000222747,ENSG00000106025 ,TSPAN12,0.811569239
ENST00000373610,ENSG00000084652 ,TXLNA,0.810308847
ENST00000367218,ENSG00000058668 ,ATP2B4,0.810190395
ENST00000313339,ENSG00000180071 ,ANKRD18A,0.808507376
ENST00000271375,ENSG00000213064 ,SFT2D2,0.808448988
ENST00000291416,ENSG00000116525 ,TRIM62,0.806679193
