Transcript Id,Gene Id,name,miTG score
ENST00000267811,ENSG00000140262 ,TCF12,0.99553994
ENST00000393979,ENSG00000239306 ,RBM14,0.993084411
ENST00000568561,ENSG00000103024 ,NME3,0.98985873
ENST00000601773,ENSG00000160321 ,ZNF208,0.98163214
ENST00000357949,ENSG00000197019 ,SERTAD1,0.981249743
ENST00000464356,ENSG00000116604 ,MEF2D,0.974111386
ENST00000596143,ENSG00000160352 ,ZNF714,0.973626309
ENST00000318560,ENSG00000097007 ,ABL1,0.972478522
ENST00000483328,ENSG00000162971 ,TYW5,0.967554458
ENST00000377735,ENSG00000185800 ,DMWD,0.966910835
ENST00000368913,ENSG00000143434 ,SEMA6C,0.963993849
ENST00000261655,ENSG00000060709 ,RIMBP2,0.963221669
ENST00000417669,ENSG00000186732 ,MPPED1,0.893213303
ENST00000341656,ENSG00000205238 ,SPDYE2,0.89250272
ENST00000514561,ENSG00000150961 ,SEC24D,0.880743852
ENST00000332585,ENSG00000184792 ,OSBP2,0.87643061
ENST00000368559,ENSG00000143552 ,NUP210L,0.864326059
ENST00000414983,ENSG00000163466 ,ARPC2,0.862957158
ENST00000361716,ENSG00000139190 ,VAMP1,0.857721233
ENST00000376208,ENSG00000148053 ,NTRK2,0.857001029
ENST00000532335,ENSG00000164520 ,RAET1E,0.855819698
ENST00000537348,ENSG00000184445 ,KNTC1,0.854236643
ENST00000336078,ENSG00000074657 ,ZNF532,0.850023204
ENST00000425778,ENSG00000115875 ,SRSF7,0.847795984
ENST00000367230,ENSG00000112031 ,MTRF1L,0.846085726
ENST00000519716,ENSG00000130477 ,UNC13A,0.838944916
ENST00000258704,ENSG00000136206 ,SPDYE1,0.836087896
ENST00000541349,ENSG00000182450 ,KCNK4,0.831185493
ENST00000395715,ENSG00000104447 ,TRPS1,0.818768415
ENST00000275517,ENSG00000146670 ,CDCA5,0.796286694
ENST00000457308,ENSG00000163214 ,DHX57,0.787069844
ENST00000596742,ENSG00000254521 ,SIGLEC12,0.77254043
ENST00000361727,ENSG00000174469 ,CNTNAP2,0.770488125
ENST00000326842,ENSG00000181562 ,EDDM3A,0.76961963
ENST00000446942,ENSG00000178026 ,FAM211B,0.768552254
ENST00000355125,ENSG00000011114 ,BTBD7,0.766978373
ENST00000512070,ENSG00000038382 ,TRIO,0.76581004
ENST00000591548,ENSG00000108423 ,TUBD1,0.761170583
ENST00000466048,ENSG00000166348 ,USP54,0.760330538
ENST00000264607,ENSG00000065802 ,ASB1,0.758867316
ENST00000367590,ENSG00000143324 ,XPR1,0.758461043
ENST00000392806,ENSG00000183160 ,TMEM119,0.752866343
ENST00000309241,ENSG00000155846 ,PPARGC1B,0.748299889
ENST00000374051,ENSG00000196338 ,NLGN3,0.741266443
ENST00000586592,ENSG00000152234 ,ATP5A1,0.740002922
ENST00000571981,ENSG00000198336 ,MYL4,0.735151238
ENST00000586869,ENSG00000073536 ,NLE1,0.735049788
ENST00000395996,ENSG00000132549 ,VPS13B,0.734096566
ENST00000330701,ENSG00000181638 ,ZFP41,0.733686806
ENST00000486811,ENSG00000153266 ,FEZF2,0.731300022
ENST00000439248,ENSG00000100271 ,TTLL1,0.727249312
ENST00000557802,ENSG00000100897 ,DCAF11,0.725732732
ENST00000305141,ENSG00000171596 ,NMUR1,0.721399032
ENST00000437199,ENSG00000164944 ,KIAA1429,0.720127744
ENST00000297316,ENSG00000164736 ,SOX17,0.717808449
ENST00000517325,ENSG00000147457 ,CHMP7,0.717007963
ENST00000479391,ENSG00000182150 ,ERCC6L2,0.716025272
ENST00000264952,ENSG00000114124 ,GRK7,0.715600679
ENST00000389698,ENSG00000174373 ,RALGAPA1,0.714609192
ENST00000357972,ENSG00000147041 ,SYTL5,0.714368441
ENST00000441556,ENSG00000077063 ,CTTNBP2,0.712748693
ENST00000443668,ENSG00000164116 ,GUCY1A3,0.712153637
ENST00000309311,ENSG00000167658 ,EEF2,0.711317258
ENST00000412217,ENSG00000115421 ,PAPOLG,0.710478107
ENST00000378993,ENSG00000169306 ,IL1RAPL1,0.710062616
ENST00000482745,ENSG00000196735 ,HLA-DQA1,0.707264552
ENST00000426004,ENSG00000204070 ,SYS1,0.70674826
ENST00000522284,ENSG00000111879 ,FAM184A,0.705322326
ENST00000484733,ENSG00000092108 ,SCFD1,0.703418972
ENST00000392869,ENSG00000121964 ,GTDC1,0.703346216
ENST00000531224,ENSG00000029363 ,BCLAF1,0.702215991
ENST00000429261,ENSG00000187980 ,PLA2G2C,0.700373436
ENST00000591455,ENSG00000108669 ,CYTH1,0.700310723
ENST00000361742,ENSG00000167178 ,ISLR2,0.700183654
