Transcript Id,Gene Id,name,miTG score
ENST00000300249,ENSG00000166974 ,MAPRE2,0.999962046
ENST00000368449,ENSG00000160691 ,SHC1,0.999779827
ENST00000494183,ENSG00000188517 ,COL25A1,0.999771577
ENST00000277746,ENSG00000148572 ,NRBF2,0.999507384
ENST00000512123,ENSG00000138759 ,FRAS1,0.999061003
ENST00000454158,ENSG00000181826 ,RELL1,0.99894851
ENST00000226382,ENSG00000109132 ,PHOX2B,0.998927101
ENST00000264867,ENSG00000109819 ,PPARGC1A,0.998730934
ENST00000436636,ENSG00000154310 ,TNIK,0.997930435
ENST00000355812,ENSG00000075292 ,ZNF638,0.995713953
ENST00000506882,ENSG00000145241 ,CENPC,0.995367089
ENST00000261716,ENSG00000160551 ,TAOK1,0.994837358
ENST00000264079,ENSG00000090674 ,MCOLN1,0.993946947
ENST00000520401,ENSG00000258864 ,CTC-554D6.1,0.993815231
ENST00000265022,ENSG00000058866 ,DGKG,0.993695814
ENST00000370944,ENSG00000118454 ,ANKRD13C,0.993608301
ENST00000286614,ENSG00000156103 ,MMP16,0.993068174
ENST00000369303,ENSG00000135333 ,EPHA7,0.992548727
ENST00000466270,ENSG00000203791 ,METTL10,0.991929991
ENST00000377495,ENSG00000148483 ,TMEM236,0.991487635
ENST00000341184,ENSG00000128268 ,MGAT3,0.9912099
ENST00000448903,ENSG00000183020 ,AP2A2,0.991046795
ENST00000357367,ENSG00000182330 ,PRAMEF8,0.990073867
ENST00000565468,ENSG00000261115 ,TMEM178B,0.989494733
ENST00000377793,ENSG00000110583 ,NAA40,0.98820143
ENST00000261254,ENSG00000118971 ,CCND2,0.987398591
ENST00000523377,ENSG00000083099 ,LYRM2,0.986550208
ENST00000447496,ENSG00000114805 ,PLCH1,0.985988349
ENST00000380003,ENSG00000147894 ,C9orf72,0.984471391
ENST00000451681,ENSG00000010626 ,LRRC23,0.983505411
ENST00000380874,ENSG00000054598 ,FOXC1,0.983180428
ENST00000561648,ENSG00000102935 ,ZNF423,0.981443915
ENST00000469044,ENSG00000114098 ,ARMC8,0.980497156
ENST00000445946,ENSG00000227268 ,KLLN,0.980355076
ENST00000549851,ENSG00000135407 ,AVIL,0.979843983
ENST00000217260,ENSG00000101282 ,RSPO4,0.979442256
ENST00000180166,ENSG00000078579 ,FGF20,0.979249113
ENST00000264828,ENSG00000080573 ,COL5A3,0.979054329
ENST00000357727,ENSG00000146592 ,CREB5,0.975020116
ENST00000227758,ENSG00000110330 ,BIRC2,0.9698265
ENST00000262085,ENSG00000170265 ,ZNF282,0.968773127
ENST00000520087,ENSG00000168619 ,ADAM18,0.968750784
ENST00000222792,ENSG00000106069 ,CHN2,0.967423918
ENST00000528880,ENSG00000255398 ,HCAR3,0.966599732
ENST00000335727,ENSG00000100354 ,TNRC6B,0.966290307
ENST00000442682,ENSG00000214128 ,TMEM213,0.960067516
ENST00000472827,ENSG00000168216 ,LMBRD1,0.9570063
ENST00000310836,ENSG00000174607 ,UGT8,0.95658669
ENST00000313341,ENSG00000178403 ,NEUROG2,0.955134262
ENST00000308580,ENSG00000138594 ,TMOD3,0.955097031
ENST00000444128,ENSG00000111912 ,NCOA7,0.954167025
ENST00000306336,ENSG00000168887 ,C2orf68,0.953595078
ENST00000357869,ENSG00000174233 ,ADCY6,0.952613029
ENST00000303965,ENSG00000047365 ,ARAP2,0.951880238
ENST00000541428,ENSG00000198363 ,ASPH,0.951862904
ENST00000378847,ENSG00000183049 ,CAMK1D,0.951689618
